date;time;user;nice;system;idle;iowait;irq;softirq
2022-10-29;17:29:34;3.7;0.0;19.7;70.7;0.0;2.1;3.7
2022-10-29;17:29:35;3.6;0.0;20.8;69.8;0.0;2.1;3.6
2022-10-29;17:29:36;3.2;0.0;19.6;71.4;0.0;2.1;3.7
2022-10-29;17:29:37;2.5;0.0;24.4;67.2;0.0;2.5;3.5
2022-10-29;17:29:38;3.7;0.0;20.0;70.5;0.0;2.1;3.7
2022-10-29;17:29:39;3.2;0.0;18.7;72.2;0.0;2.1;3.7
2022-10-29;17:29:40;2.6;0.0;23.0;68.4;0.0;2.0;4.1
2022-10-29;17:29:41;5.6;0.0;19.9;68.4;0.0;2.6;3.6
2022-10-29;17:29:42;3.6;0.0;24.0;66.8;0.0;2.0;3.6
2022-10-29;17:29:43;2.6;0.0;20.8;70.8;0.0;2.1;3.6
2022-10-29;17:29:44;5.3;0.0;16.5;71.8;0.0;2.1;4.3
2022-10-29;17:29:45;4.5;0.0;22.6;66.8;0.0;2.5;3.5
2022-10-29;17:29:46;4.4;0.0;24.9;65.4;0.0;2.0;3.4
2022-10-29;17:29:47;4.2;0.0;19.5;70.5;0.0;2.1;3.7
2022-10-29;17:29:48;2.6;0.0;20.0;70.5;0.0;2.6;4.2
2022-10-29;17:29:49;9.9;0.0;28.1;57.3;0.0;1.6;3.1
2022-10-29;17:29:50;1.6;0.0;18.1;73.1;0.0;2.7;4.4
2022-10-29;17:29:51;4.2;0.0;18.5;71.4;0.0;2.1;3.7
2022-10-29;17:29:52;3.1;0.0;21.4;69.8;0.0;2.1;3.6
2022-10-29;17:29:53;3.2;0.0;17.3;73.0;0.0;2.7;3.8
2022-10-29;17:29:54;3.7;0.0;20.4;69.6;0.0;2.1;4.2
2022-10-29;17:29:55;3.1;0.0;22.6;68.7;0.0;2.1;3.6
2022-10-29;17:29:56;3.3;0.0;16.6;74.0;0.0;2.2;3.9
2022-10-29;17:29:57;5.6;0.0;20.4;68.4;0.0;2.0;3.6
2022-10-29;17:29:58;3.7;0.0;19.0;71.4;0.0;2.1;3.7
2022-10-29;17:29:59;3.0;0.0;23.5;67.5;0.0;2.5;3.5
2022-10-29;17:30:00;8.7;0.0;16.8;71.4;0.0;1.0;2.0
2022-10-29;17:30:01;1.0;0.0;4.5;93.0;0.0;0.5;1.0
2022-10-29;17:30:02;0.0;0.0;2.1;96.4;0.0;0.5;1.0
2022-10-29;17:30:03;1.0;0.0;4.5;93.5;0.0;0.5;0.5
2022-10-29;17:30:04;2.9;0.0;3.4;91.7;0.0;0.5;1.5
2022-10-29;17:30:05;0.0;0.0;3.6;95.4;0.0;0.5;0.5
2022-10-29;17:30:06;0.5;0.0;2.1;95.9;0.0;0.5;1.0
2022-10-29;17:30:07;0.5;0.0;2.1;96.4;0.0;0.5;0.5
2022-10-29;17:30:08;0.0;0.0;2.6;95.9;0.0;0.5;1.0
2022-10-29;17:30:09;0.5;0.0;5.4;92.6;0.0;0.5;1.0
2022-10-29;17:30:10;0.5;0.0;5.5;92.5;0.0;0.5;1.0
2022-10-29;17:30:11;0.5;0.0;3.5;94.9;0.0;0.5;0.5
2022-10-29;17:30:12;1.0;1.5;6.0;90.0;0.0;0.5;1.0
2022-10-29;17:30:13;0.0;0.0;2.6;95.9;0.0;0.5;1.0
2022-10-29;17:30:14;0.0;0.0;2.1;96.4;0.0;0.5;1.0
2022-10-29;17:30:15;4.0;0.0;10.4;83.7;0.0;1.0;1.0
2022-10-29;17:30:16;0.0;0.0;3.1;95.4;0.0;0.5;1.0
2022-10-29;17:30:17;0.0;0.0;4.5;94.5;0.0;0.5;0.5
2022-10-29;17:30:18;0.0;0.0;4.0;94.9;0.0;0.0;1.0
2022-10-29;17:30:19;0.5;0.0;4.0;94.0;0.0;0.5;1.0
2022-10-29;17:30:20;0.5;0.0;3.5;94.0;0.0;1.0;1.0
2022-10-29;17:30:21;9.0;0.0;6.0;83.4;0.0;0.5;1.0
2022-10-29;17:30:22;0.5;0.0;13.7;81.6;0.0;1.6;2.6
2022-10-29;17:30:23;4.1;0.0;21.5;68.7;0.0;2.1;3.6
